Date,isotope
1977-06-10,-85.41728
1977-06-15,-81.25915
1977-06-22,-65.32943
1977-07-01,-80.84919
1977-07-07,-78.62372
1977-07-09,-72.35725
1977-07-12,-73.29429
1977-07-16,-78.56515
1977-07-23,-78.91654
1977-07-28,-75.05124
1977-08-05,-65.44656
1977-08-05,-70.30747
1977-08-05,-74.81698
1977-08-05,-75.81259
1977-08-06,-76.86676
1977-08-07,-76.22255
1977-08-12,-76.16398
1977-08-13,-77.68668
1977-08-16,-78.50659
1977-08-25,-78.33089
1977-08-31,-76.92533
1977-09-06,-78.27233
1977-09-12,-76.86676
1977-09-15,-77.80381
1977-09-20,-76.69107
1977-10-04,-77.27672
1977-10-14,-77.92094
1977-10-19,-78.33089
1977-10-23,-77.92094
1977-10-25,-77.15959
1977-11-03,-77.92094
1977-11-08,-78.56515
1977-11-15,-76.8082
1977-11-19,-78.62372
1977-11-21,-76.69107
1977-11-27,-76.86676
1977-12-04,-78.56515
1977-12-10,-78.21376
1977-12-12,-78.97511
1977-12-20,-78.50659
1977-12-23,-80.20498
1977-12-29,-79.09224
1978-01-04,-78.44802
1978-01-06,-79.67789
1978-01-11,-79.09224
1978-01-16,-78.50659
1978-01-21,-79.03367
1978-01-30,-82.31332
1978-02-02,-79.56076
1978-02-09,-80.73206
1978-02-11,-79.38507
1978-02-19,-82.89898
1978-02-19,-79.79502
1978-02-20,-83.60176
1978-02-20,-88.69693
1978-02-22,-84.48023
1978-02-25,-87.34993
1978-02-25,-85.65154
1978-03-01,-86.47145
1978-03-03,-84.24597
1978-03-06,-86.00293
1978-03-07,-83.60176
1978-03-12,-90.68814
1978-03-14,-83.89458
1978-03-18,-81.78624
1978-03-29,-88.5798
1978-03-30,-87.81845
1978-04-05,-86.88141
1978-04-06,-83.71889
1978-04-09,-85.35871
1978-04-16,-83.07467
1978-04-20,-87.99414
1978-04-23,-85.8858
1978-04-28,-89.86823
