Date,isotope
1983-11-23,-9.22
1983-11-24,-9.38
1983-11-25,-9.41
1983-11-28,-9.17
1983-11-28,-9.25
1983-11-28,-9.33
1983-12-03,-9.39
1983-12-06,-9.25
1983-12-08,-9.34
1983-12-14,-9.30
1983-12-19,-9.39
1983-12-19,-9.66
1983-12-20,-9.56
1983-12-26,-9.25
1983-12-27,-9.22
1983-12-30,-9.35
1983-12-30,-9.19
1984-01-05,-9.16
1984-01-05,-9.27
1984-01-08,-9.36
1984-01-11,-9.95
1984-01-12,-9.46
1984-01-16,-9.21
1984-01-16,-9.31
1984-01-21,-9.27
1984-01-21,-9.39
1984-01-23,-9.44
1984-01-27,-8.90
1984-01-27,-9.35
1984-02-02,-9.52
1984-02-05,-9.37
1984-02-05,-9.44
1984-02-07,-9.29
1984-02-08,-9.15
1984-02-13,-9.24
1984-02-13,-9.31
1984-02-22,-9.38
1984-02-23,-9.34
1984-02-27,-9.40
1984-02-29,-9.01
1984-03-01,-8.91
1984-03-06,-9.36
1984-03-08,-9.41
1984-03-09,-9.28
1984-03-10,-9.37
1984-03-15,-9.39
1984-03-16,-9.25
1984-03-20,-9.44
1984-03-22,-9.70
1984-03-24,-9.34
1984-03-25,-9.47
1984-03-26,-9.67
1984-03-27,-9.56
1984-03-30,-9.42
1984-03-30,-9.73
1984-03-31,-9.63
1984-04-04,-9.41
1984-04-05,-9.51
1984-04-06,-9.65
1984-04-09,-9.61
1984-04-09,-9.85
1984-04-10,-9.78
1984-04-12,-9.82
1984-04-12,-10.00
1984-04-15,-9.42
1984-04-17,-9.77
1984-04-17,-9.68
1984-04-18,-9.60
1984-04-18,-9.51
1984-04-23,-9.48
1984-04-23,-9.45
1984-04-25,-9.40
1984-04-25,-9.53
